step,throughput,mean_queue,max_queue,prop_congested_edges,prop_congested_nodes,delivered_cum,dropped_cum,generated_cum,mean_gen_rate
101,2,0.26,3,0.07142857142857142,0.0,394,0,407,0.08
102,4,0.22,2,0.07142857142857142,0.0,398,0,409,0.08
103,6,0.18,2,0.0,0.0,404,0,413,0.08
104,4,0.2,2,0.0,0.0,408,0,418,0.08
105,2,0.18,2,0.0,0.0,410,0,419,0.08
106,6,0.22,2,0.0,0.0,416,0,427,0.08
107,5,0.18,2,0.0,0.0,421,0,430,0.08
108,3,0.22,2,0.07692307692307693,0.0,424,0,435,0.08
109,1,0.34,2,0.2,0.0,425,0,442,0.08
110,4,0.3,2,0.11764705882352941,0.0,429,0,444,0.08
111,6,0.22,3,0.0625,0.0,435,0,446,0.08
112,6,0.2,2,0.14285714285714285,0.0,441,0,451,0.08
113,3,0.22,2,0.07692307692307693,0.0,444,0,455,0.08
114,4,0.2,1,0.07692307692307693,0.0,448,0,458,0.08
115,5,0.2,2,0.0,0.0,453,0,463,0.08
116,3,0.2,2,0.0,0.0,456,0,466,0.08
117,3,0.2,2,0.0,0.0,459,0,469,0.08
118,1,0.24,2,0.08333333333333333,0.0,460,0,472,0.08
119,5,0.18,2,0.07692307692307693,0.0,465,0,474,0.08
120,3,0.12,1,0.0,0.0,468,0,474,0.08
121,4,0.12,1,0.1111111111111111,0.0,472,0,478,0.08
122,3,0.18,1,0.09090909090909091,0.0,475,0,484,0.08
123,3,0.2,2,0.0,0.0,478,0,488,0.08
124,3,0.2,2,0.08333333333333333,0.0,481,0,491,0.08
125,5,0.24,2,0.0,0.0,486,0,498,0.08
126,5,0.3,3,0.17647058823529413,0.0,491,0,506,0.08
127,1,0.34,3,0.058823529411764705,0.0,492,0,509,0.08
128,5,0.36,4,0.045454545454545456,0.0,497,0,515,0.08
129,5,0.36,3,0.21052631578947367,0.0,502,0,520,0.08
130,6,0.32,3,0.1,0.0,508,0,524,0.08
131,3,0.38,5,0.16666666666666666,0.0,511,0,530,0.07919999999999999
132,5,0.36,5,0.16666666666666666,0.0,516,0,534,0.0788
133,9,0.22,4,0.058823529411764705,0.0,525,0,536,0.07919999999999999
134,5,0.22,3,0.07142857142857142,0.0,530,0,541,0.0796
135,3,0.24,2,0.07692307692307693,0.0,533,0,545,0.08
136,3,0.26,3,0.06666666666666667,0.0,536,0,549,0.08
137,5,0.28,2,0.05555555555555555,0.0,541,0,555,0.08
