step,throughput,mean_queue,max_queue,prop_congested_edges,prop_congested_nodes,delivered_cum,dropped_cum,generated_cum,mean_gen_rate
92,6,3.64,9,0.6212121212121212,0.12,846,178,1206,0.22305823296556362
93,10,3.6,10,0.5507246376811594,0.08,856,180,1216,0.2209445333851704
94,6,3.72,9,0.6176470588235294,0.12,862,180,1228,0.22276098055788776
95,8,3.64,10,0.5909090909090909,0.14,870,187,1239,0.22526436891763577
96,9,3.62,9,0.6065573770491803,0.14,879,189,1249,0.22885340783764233
97,8,3.62,10,0.6166666666666667,0.1,887,190,1258,0.22462786974759652
98,7,3.68,10,0.5873015873015873,0.08,894,195,1273,0.2134180984414314
99,6,3.76,10,0.5735294117647058,0.12,900,197,1285,0.20802748463081402
100,8,3.68,10,0.6363636363636364,0.1,908,203,1295,0.20814318292361322
101,6,3.76,10,0.6833333333333333,0.08,914,203,1305,0.2087185790026612
102,9,3.72,9,0.6119402985074627,0.08,923,206,1315,0.20224325833056309
103,8,3.7,9,0.6417910447761194,0.06,931,207,1323,0.19905638890112676
104,14,3.56,9,0.71875,0.06,945,208,1331,0.19791115058339045
105,12,3.42,10,0.59375,0.14,957,208,1336,0.19545174532585072
106,10,3.34,10,0.5573770491803278,0.1,967,213,1347,0.19788484521826724
107,7,3.36,10,0.5714285714285714,0.12,974,214,1356,0.20128264641888
108,6,3.34,10,0.625,0.08,980,217,1364,0.20152781885549761
109,5,3.3,10,0.6730769230769231,0.08,985,220,1370,0.20591898458732538
110,6,3.22,10,0.6140350877192983,0.08,991,224,1376,0.20601659929117477
111,9,3.24,8,0.6229508196721312,0.08,1000,224,1386,0.20882365773982353
112,8,3.28,10,0.5303030303030303,0.08,1008,227,1399,0.20843275826669874
113,6,3.32,9,0.5625,0.08,1014,228,1408,0.2088666038476049
114,4,3.42,9,0.625,0.1,1018,228,1417,0.2099977863687624
115,8,3.46,10,0.5294117647058824,0.06,1026,230,1429,0.20904876145624077
116,10,3.54,10,0.5142857142857142,0.06,1036,232,1445,0.2048278613379839
117,13,3.36,10,0.6,0.08,1049,236,1453,0.20529165066752483
118,8,3.32,9,0.5428571428571428,0.1,1057,238,1461,0.20212930893836045
119,11,3.3,10,0.5692307692307692,0.1,1068,241,1474,0.20396842557959302
120,8,3.22,10,0.5483870967741935,0.06,1076,246,1483,0.20769459355886358
121,6,3.22,9,0.6862745098039216,0.08,1082,246,1489,0.21088780907130966
122,8,3.28,10,0.5423728813559322,0.06,1090,249,1503,0.21018970753903776
123,2,3.26,10,0.7115384615384616,0.04,1092,253,1508,0.21021502893577523
124,8,3.24,9,0.59375,0.08,1100,254,1516,0.21108379076478057
125,8,3.12,10,0.6333333333333333,0.1,1108,258,1522,0.2163470393318627
126,9,3.18,10,0.546875,0.1,1117,260,1536,0.218365785324521
127,13,3.12,10,0.5238095238095238,0.08,1130,263,1549,0.22018029815639534
128,7,3.26,8,0.5396825396825397,0.06,1137,263,1563,0.21919933000410785
129,7,3.24,10,0.6166666666666667,0.08,1144,265,1571,0.22012939046546962
130,5,3.28,10,0.5409836065573771,0.08,1149,269,1582,0.22533973817127845
131,8,3.3,8,0.5573770491803278,0.06,1157,269,1591,0.2282846032487379
132,8,3.38,9,0.4657534246575342,0.08,1165,270,1604,0.2301721593052968
133,13,3.26,10,0.4788732394366197,0.08,1178,274,1615,0.23503581764506185
134,10,3.18,10,0.546875,0.1,1188,279,1626,0.2379193386752453
135,9,3.14,10,0.5645161290322581,0.08,1197,285,1639,0.24157274890027622
136,5,3.24,10,0.5614035087719298,0.1,1202,285,1649,0.24341169046084357
137,11,3.26,10,0.5942028985507246,0.08,1213,287,1663,0.24127669776040647
138,11,3.26,10,0.5735294117647058,0.08,1224,288,1675,0.23427183752562925
139,9,3.28,10,0.5538461538461539,0.1,1233,291,1688,0.23221390052044552
140,10,3.36,9,0.59375,0.08,1243,292,1703,0.22826348833629595
141,11,3.36,10,0.5217391304347826,0.08,1254,293,1715,0.22744024900126564
142,11,3.24,10,0.5454545454545454,0.12,1265,298,1725,0.2292910321493472
143,10,3.26,9,0.6,0.14,1275,299,1737,0.23519126496433465
144,9,3.2,10,0.6949152542372882,0.06,1284,303,1747,0.24194138137182836
145,6,3.32,9,0.6833333333333333,0.08,1290,303,1759,0.2326927783904199
146,9,3.36,10,0.6268656716417911,0.06,1299,303,1770,0.22742007235350103
147,10,3.4,10,0.6896551724137931,0.12,1309,304,1783,0.23017249515820076
148,8,3.32,10,0.6428571428571429,0.08,1317,307,1790,0.22912290639869995
149,9,3.32,10,0.5873015873015873,0.08,1326,308,1800,0.2285741050948
150,10,3.16,10,0.6166666666666667,0.06,1336,314,1808,0.2300819804823428
151,9,3.16,10,0.5573770491803278,0.06,1345,317,1820,0.2327430453688606
152,11,3.1,10,0.5483870967741935,0.1,1356,322,1833,0.23867667016925354
153,11,3.1,9,0.5076923076923077,0.14,1367,323,1845,0.24411473646054246
154,8,3.14,10,0.5230769230769231,0.1,1375,325,1857,0.24943542383657327
155,10,3.34,9,0.5522388059701493,0.08,1385,325,1877,0.24547994440804607
156,8,3.36,9,0.5652173913043478,0.06,1393,326,1887,0.24454698733471555
157,10,3.4,9,0.5652173913043478,0.06,1403,329,1902,0.23688838257842348
158,9,3.42,10,0.5633802816901409,0.08,1412,331,1914,0.2290606735530122
159,11,3.42,10,0.6825396825396826,0.08,1423,331,1925,0.22758942679891334
160,7,3.54,9,0.6,0.18,1430,331,1938,0.2301246350438712
161,8,3.46,10,0.6153846153846154,0.14,1438,336,1947,0.2360617959748221
162,10,3.38,10,0.5588235294117647,0.06,1448,337,1954,0.22710979325077804
163,9,3.4,8,0.5606060606060606,0.04,1457,337,1964,0.2172310716305076
164,7,3.46,10,0.546875,0.06,1464,338,1975,0.20943024022024503
165,6,3.38,10,0.6727272727272727,0.12,1470,345,1984,0.20411518893228195
166,9,3.34,10,0.6451612903225806,0.12,1479,348,1994,0.20492284445654665
167,9,3.32,10,0.5373134328358209,0.06,1488,349,2003,0.20575783718532376
168,6,3.42,10,0.6290322580645161,0.08,1494,350,2015,0.20805013959651641
169,8,3.46,10,0.5441176470588235,0.1,1502,353,2028,0.2094980698797779
170,7,3.46,9,0.5909090909090909,0.12,1509,355,2037,0.2111202561617244
171,7,3.48,10,0.59375,0.1,1516,356,2046,0.21555144261320028
172,8,3.5,9,0.5970149253731343,0.08,1524,358,2057,0.21537818363750919
173,7,3.42,10,0.6721311475409836,0.06,1531,363,2065,0.2149724096619894
174,7,3.4,10,0.6190476190476191,0.06,1538,369,2077,0.21544321412866246
175,9,3.32,10,0.5967741935483871,0.06,1547,372,2085,0.21134143329125102
176,9,3.28,10,0.6031746031746031,0.1,1556,374,2094,0.21289879539913603
177,10,3.16,10,0.5967741935483871,0.1,1566,379,2103,0.21763924869388396
178,12,3.12,10,0.45588235294117646,0.1,1578,383,2117,0.22266177243979002
179,7,3.28,9,0.5,0.06,1585,383,2132,0.22558473334344714
180,6,3.44,10,0.5652173913043478,0.1,1591,385,2148,0.2259133178080444
181,7,3.44,10,0.49295774647887325,0.1,1598,389,2159,0.22846215355904004
182,6,3.6,10,0.6129032258064516,0.12,1604,390,2174,0.22732454692444332
183,16,3.44,10,0.5588235294117647,0.1,1620,396,2188,0.2138100306558584
184,8,3.42,9,0.65625,0.08,1628,398,2197,0.2068259770555072
185,12,3.36,10,0.6029411764705882,0.06,1640,401,2209,0.206277130092904
186,9,3.38,10,0.5882352941176471,0.14,1649,402,2220,0.2110528320200314
187,9,3.36,10,0.582089552238806,0.16,1658,406,2232,0.21665498020343446
188,8,3.44,10,0.5573770491803278,0.1,1666,406,2244,0.22022409294282164
189,9,3.38,10,0.5901639344262295,0.06,1675,413,2257,0.2135670716866488
190,8,3.42,8,0.6721311475409836,0.08,1683,414,2268,0.20577593815311918
191,8,3.52,10,0.640625,0.08,1691,414,2281,0.20482821781178984
192,7,3.56,10,0.6212121212121212,0.14,1698,418,2294,0.20320546810323406
193,9,3.48,10,0.5138888888888888,0.1,1707,424,2305,0.20281897116634148
194,12,3.52,9,0.5915492957746479,0.06,1719,424,2319,0.1977564293863108
195,11,3.54,10,0.5753424657534246,0.08,1730,424,2331,0.1957124039393285
196,15,3.34,10,0.4794520547945205,0.1,1745,426,2338,0.19683090636067266
197,9,3.28,9,0.532258064516129,0.1,1754,426,2344,0.19951698341753613
198,7,3.36,9,0.59375,0.1,1761,426,2355,0.203435015480112
199,9,3.34,10,0.5806451612903226,0.06,1770,428,2365,0.20014066551160295
200,5,3.36,10,0.6666666666666666,0.06,1775,431,2374,0.19686001954701254
201,8,3.28,10,0.6981132075471698,0.08,1783,433,2380,0.19578270855452323
202,8,3.3,10,0.6949152542372882,0.08,1791,437,2393,0.20022887023743427
203,10,3.32,8,0.582089552238806,0.04,1801,438,2405,0.20228708436378662
204,7,3.36,9,0.5735294117647058,0.06,1808,439,2415,0.19912682900150291
205,8,3.42,9,0.59375,0.08,1816,440,2427,0.19206955740517934
206,9,3.34,10,0.639344262295082,0.1,1825,442,2434,0.19377597605589614
207,11,3.32,9,0.6031746031746031,0.12,1836,442,2444,0.19535000893121807
208,9,3.3,10,0.5303030303030303,0.06,1845,444,2454,0.1948277625123231
209,7,3.3,10,0.53125,0.08,1852,445,2462,0.1964409528462653
210,10,3.18,10,0.6491228070175439,0.08,1862,447,2468,0.2020468828258669
211,13,3.14,10,0.578125,0.08,1875,451,2483,0.2047849738422837
212,6,3.28,9,0.6,0.14,1881,451,2496,0.21072199401398137
213,11,3.26,10,0.5873015873015873,0.14,1892,454,2509,0.21062996835061848
214,7,3.24,10,0.5833333333333334,0.1,1899,456,2517,0.2145957435767628
215,6,3.3,9,0.7,0.1,1905,456,2526,0.22048238670172335
216,8,3.28,10,0.6229508196721312,0.08,1913,459,2536,0.22108474214178048
217,8,3.2,10,0.6229508196721312,0.06,1921,464,2545,0.22576193005671802
218,4,3.26,10,0.7,0.08,1925,467,2555,0.22075519567881977
219,12,3.3,10,0.5882352941176471,0.1,1937,470,2572,0.2151120494723735
220,8,3.3,10,0.5806451612903226,0.12,1945,470,2580,0.21890428062990971
221,8,3.22,9,0.5230769230769231,0.12,1953,476,2590,0.2183959242864856
222,9,3.24,8,0.484375,0.06,1962,476,2600,0.22066350311008084
