scenario,control_enabled,n,delivery_ratio_mean,delivery_ratio_std,mean_latency_mean,mean_latency_std,mean_queue_len_mean,mean_queue_len_std,max_queue_len_mean,max_queue_len_std,prop_congested_edges_mean,prop_congested_edges_std,prop_congested_nodes_mean,prop_congested_nodes_std,dropped_mean,dropped_std,generated_mean,generated_std,delivered_mean,delivered_std,mean_recovery_time_steps_mean,mean_recovery_time_steps_std,n_congestion_episodes_mean,n_congestion_episodes_std
baja,False,10,0.9895826298831509,0.003255057040853156,2.735191986264586,0.273144353211861,0.22016666666666668,0.02227555211935772,5.3,1.7349351572897473,0.06999136258868087,0.011963093044393268,4.666666666666667e-05,0.00014000000000000001,0.1,0.3,1209.6,23.161174408911133,1197,23.25510696599781,0.0,0.0,0,0.0
baja,True,10,0.9896289865422847,0.0028447164405590326,2.6911555812150794,0.2907433573872581,0.21714,0.023263370349113216,5.1,0.8306623862918074,0.0661678847052575,0.009549108715873264,0.0,0.0,0,0.0,1212.3,20.871272122225804,1199.7,19.3393381479305,0.0,0.0,0,0.0
media,False,10,0.864093728720045,0.0535838539605527,5.513734975099438,0.8654510796417528,1.2594066666666666,0.15478957027741458,10,0.0,0.2800993826718203,0.026873280440444947,0.05110666666666667,0.014869930882302193,437.4,188.30677098819362,3675.3,81.04079219751002,3177.1,228.96220212078674,8.149175941279521,5.628583645219591,19.8,8.047359815492284
media,True,10,0.9422150016355657,0.05072533046979782,6.425762372530537,1.8199055940862534,1.43068,0.3880059309970518,10,0.0,0.35330678850594655,0.07425845588260671,0.019933333333333334,0.01400238074995344,103.6,114.12904976385285,3192.2,240.91151902721464,3019.1,372.0030779442557,1.2244082125603866,0.9271039156588012,13.2,16.73200525938239
alta,False,10,0.5820449555847254,0.059581144140709245,8.396602453629741,1.351263599742541,3.03938,0.2997968587041714,10,0.0,0.41495673524819887,0.0285704548770281,0.21745333333333333,0.033078503257822564,2644.8,329.92690099475067,6730.9,207.110815748478,3927,499.0895711192531,0.0,0.0,0,0.0
alta,True,10,0.8401939850199395,0.055663265636642596,11.221083193141775,2.026344608285691,3.1192066666666665,0.2931585834777257,10,0.0,0.5595089341615248,0.044470297531428546,0.07535333333333334,0.016644413143421095,416.7,141.15526911879698,3738.1,470.41523147109086,3164.4,602.812110030978,9.31638939412769,6.975410157653451,31.8,11.677328461596
