step,throughput,mean_queue,max_queue,prop_congested_edges,prop_congested_nodes,delivered_cum,dropped_cum,generated_cum,mean_gen_rate
102,1,0.24,2,0.3,0.0,400,0,412,0.08
103,6,0.2,2,0.14285714285714285,0.0,406,0,416,0.08
104,5,0.2,2,0.07142857142857142,0.0,411,0,421,0.08
105,2,0.2,2,0.09090909090909091,0.0,413,0,423,0.08
106,6,0.22,3,0.0,0.0,419,0,430,0.08
107,3,0.22,3,0.16666666666666666,0.0,422,0,433,0.08
108,5,0.22,3,0.14285714285714285,0.0,427,0,438,0.08
109,3,0.3,2,0.125,0.0,430,0,445,0.08
110,2,0.3,2,0.0625,0.0,432,0,447,0.08
111,3,0.28,3,0.13333333333333333,0.0,435,0,449,0.08
112,3,0.32,3,0.058823529411764705,0.0,438,0,454,0.08
113,6,0.28,2,0.17647058823529413,0.0,444,0,458,0.08
114,3,0.28,3,0.0625,0.0,447,0,461,0.08
115,4,0.32,3,0.17647058823529413,0.0,451,0,467,0.08
116,5,0.26,3,0.125,0.0,456,0,469,0.08
117,5,0.22,1,0.0,0.0,461,0,472,0.08
118,6,0.16,2,0.0,0.0,467,0,475,0.08
119,0,0.2,2,0.1111111111111111,0.0,467,0,477,0.08
120,5,0.1,2,0.1111111111111111,0.0,472,0,477,0.08
121,2,0.16,2,0.125,0.0,474,0,482,0.08
122,2,0.22,2,0.08333333333333333,0.0,476,0,487,0.08
123,5,0.22,2,0.06666666666666667,0.0,481,0,492,0.08
124,1,0.28,3,0.07142857142857142,0.0,482,0,496,0.08
125,5,0.28,2,0.05555555555555555,0.0,487,0,501,0.08
126,5,0.34,2,0.1,0.0,492,0,509,0.08
127,5,0.3,3,0.05263157894736842,0.0,497,0,512,0.08
128,6,0.32,3,0.047619047619047616,0.0,503,0,519,0.08
129,3,0.34,2,0.17647058823529413,0.0,506,0,523,0.08
130,9,0.26,3,0.1,0.0,515,0,528,0.08
131,3,0.32,3,0.125,0.0,518,0,534,0.08
132,6,0.26,3,0.21428571428571427,0.0,524,0,537,0.08
133,3,0.24,3,0.16666666666666666,0.0,527,0,539,0.08
134,3,0.3,3,0.13333333333333333,0.0,530,0,545,0.08
135,4,0.3,3,0.125,0.0,534,0,549,0.08
136,4,0.28,3,0.21428571428571427,0.0,538,0,552,0.08
137,4,0.34,3,0.05263157894736842,0.0,542,0,559,0.08
138,5,0.24,5,0.14285714285714285,0.0,547,0,559,0.08
139,6,0.18,3,0.08333333333333333,0.0,553,0,562,0.08
140,3,0.18,3,0.1,0.0,556,0,565,0.08
141,4,0.22,3,0.07692307692307693,0.0,560,0,571,0.08
142,5,0.2,1,0.07142857142857142,0.0,565,0,575,0.08
143,2,0.18,2,0.0,0.0,567,0,576,0.08
144,1,0.26,2,0.0,0.0,568,0,581,0.08
145,7,0.32,2,0.0,0.0,575,0,591,0.08
146,2,0.4,4,0.047619047619047616,0.0,577,0,597,0.08
147,5,0.32,3,0.16666666666666666,0.0,582,0,598,0.08
148,6,0.26,2,0.11764705882352941,0.0,588,0,601,0.08
149,4,0.28,2,0.058823529411764705,0.0,592,0,606,0.08
150,7,0.24,3,0.05555555555555555,0.0,599,0,611,0.08
151,3,0.32,2,0.2,0.0,602,0,618,0.08
152,3,0.32,4,0.1875,0.0,605,0,621,0.08
153,3,0.28,3,0.21428571428571427,0.0,608,0,622,0.08
154,5,0.26,2,0.125,0.0,613,0,626,0.08
155,4,0.32,2,0.05263157894736842,0.0,617,0,633,0.08
156,4,0.32,4,0.05263157894736842,0.0,621,0,637,0.08
157,6,0.32,3,0.047619047619047616,0.0,627,0,643,0.08
158,6,0.34,3,0.0,0.0,633,0,650,0.08
159,6,0.28,4,0.1875,0.0,639,0,653,0.08
160,6,0.22,4,0.15384615384615385,0.0,645,0,656,0.08
161,4,0.18,4,0.2222222222222222,0.0,649,0,658,0.08
162,2,0.2,4,0.25,0.0,651,0,661,0.08
163,4,0.2,4,0.09090909090909091,0.0,655,0,665,0.08
164,4,0.2,4,0.09090909090909091,0.0,659,0,669,0.08
165,3,0.22,3,0.09090909090909091,0.0,662,0,673,0.08
166,3,0.24,2,0.07692307692307693,0.0,665,0,677,0.08
167,3,0.26,2,0.06666666666666667,0.0,668,0,681,0.08
168,4,0.26,4,0.0625,0.0,672,0,685,0.08
169,4,0.18,2,0.2,0.0,676,0,685,0.08
170,3,0.26,3,0.06666666666666667,0.0,679,0,692,0.08
171,4,0.24,2,0.07142857142857142,0.0,683,0,695,0.08
172,3,0.28,2,0.0625,0.0,686,0,700,0.08
173,7,0.36,3,0.0,0.0,693,0,711,0.08
174,4,0.32,3,0.1111111111111111,0.0,697,0,713,0.08
175,4,0.28,4,0.14285714285714285,0.0,701,0,715,0.08
176,3,0.3,2,0.21428571428571427,0.0,704,0,719,0.08
177,3,0.36,3,0.10526315789473684,0.0,707,0,725,0.08
178,7,0.28,2,0.1111111111111111,0.0,714,0,728,0.08
179,4,0.34,2,0.05,0.0,718,0,735,0.08
180,5,0.4,3,0.08695652173913043,0.0,723,0,743,0.08
181,6,0.36,4,0.09090909090909091,0.0,729,0,747,0.08
182,5,0.36,3,0.045454545454545456,0.0,734,0,752,0.08
183,10,0.22,4,0.05,0.0,744,0,755,0.08
184,5,0.18,2,0.07692307692307693,0.0,749,0,758,0.08
185,3,0.28,2,0.0,0.0,752,0,766,0.08
186,4,0.24,2,0.0,0.0,756,0,768,0.08
187,7,0.2,2,0.0625,0.0,763,0,773,0.08
188,4,0.18,1,0.0,0.0,767,0,776,0.08
189,4,0.16,1,0.0,0.0,771,0,779,0.08
190,2,0.2,1,0.0,0.0,773,0,783,0.08
191,2,0.24,3,0.0,0.0,775,0,787,0.08
192,5,0.22,2,0.0,0.0,780,0,791,0.08
193,4,0.24,3,0.0,0.0,784,0,796,0.08
194,3,0.3,2,0.058823529411764705,0.0,787,0,802,0.08
195,7,0.28,2,0.05,0.0,794,0,808,0.08
196,4,0.3,2,0.0,0.0,798,0,813,0.08
197,6,0.26,2,0.1875,0.0,804,0,817,0.08
198,6,0.22,2,0.21428571428571427,0.0,810,0,821,0.08
199,5,0.18,2,0.16666666666666666,0.0,815,0,824,0.08
200,3,0.14,2,0.25,0.0,818,0,825,0.08
201,3,0.16,2,0.1,0.0,821,0,829,0.08
202,1,0.22,2,0.09090909090909091,0.0,822,0,833,0.08
203,4,0.22,2,0.07692307692307693,0.0,826,0,837,0.08
204,3,0.2,2,0.08333333333333333,0.0,829,0,839,0.08
205,4,0.22,2,0.15384615384615385,0.0,833,0,844,0.08
206,6,0.2,3,0.0,0.0,839,0,849,0.08
207,1,0.22,2,0.09090909090909091,0.0,840,0,851,0.08
208,4,0.24,2,0.06666666666666667,0.0,844,0,856,0.08
209,3,0.24,2,0.07142857142857142,0.0,847,0,859,0.08
210,5,0.22,2,0.06666666666666667,0.0,852,0,863,0.08
211,3,0.22,2,0.07692307692307693,0.0,855,0,866,0.08
212,6,0.12,1,0.09090909090909091,0.0,861,0,867,0.08
213,1,0.12,3,0.0,0.0,862,0,868,0.08
214,1,0.2,1,0.0,0.0,863,0,873,0.08
215,4,0.16,1,0.0,0.0,867,0,875,0.08
216,2,0.12,2,0.0,0.0,869,0,875,0.08
217,2,0.14,1,0.0,0.0,871,0,878,0.08
218,2,0.14,1,0.0,0.0,873,0,880,0.08
219,5,0.12,1,0.0,0.0,878,0,884,0.08
220,2,0.26,2,0.0,0.0,880,0,893,0.08
221,3,0.28,3,0.0625,0.0,883,0,897,0.08
222,4,0.36,3,0.15789473684210525,0.0,887,0,905,0.08
223,3,0.42,5,0.047619047619047616,0.0,890,0,911,0.08
224,6,0.34,3,0.1,0.0,896,0,913,0.08
225,6,0.28,3,0.1875,0.0,902,0,916,0.08
226,6,0.24,3,0.125,0.0,908,0,920,0.08
227,4,0.26,4,0.13333333333333333,0.0,912,0,925,0.08
228,5,0.24,3,0.13333333333333333,0.0,917,0,929,0.08
229,2,0.28,2,0.06666666666666667,0.0,919,0,933,0.08
230,5,0.26,3,0.058823529411764705,0.0,924,0,937,0.08
231,6,0.28,2,0.0,0.0,930,0,944,0.08
232,6,0.32,2,0.047619047619047616,0.0,936,0,952,0.08
233,2,0.34,4,0.1875,0.0,938,0,955,0.08
234,4,0.3,4,0.058823529411764705,0.0,942,0,957,0.08
235,4,0.34,2,0.10526315789473684,0.0,946,0,963,0.08
236,7,0.32,2,0.045454545454545456,0.0,953,0,969,0.08
237,6,0.28,2,0.05555555555555555,0.0,959,0,973,0.08
238,4,0.3,3,0.1875,0.0,963,0,978,0.08
239,3,0.3,3,0.2857142857142857,0.0,966,0,981,0.08
240,4,0.34,4,0.1111111111111111,0.0,970,0,987,0.08
241,6,0.28,4,0.125,0.0,976,0,990,0.08
242,4,0.3,3,0.13333333333333333,0.0,980,0,995,0.08
243,5,0.24,3,0.14285714285714285,0.0,985,0,997,0.08
244,4,0.26,3,0.14285714285714285,0.0,989,0,1002,0.08
245,6,0.16,2,0.16666666666666666,0.0,995,0,1003,0.08
246,3,0.14,2,0.1111111111111111,0.0,998,0,1005,0.08
247,3,0.22,3,0.07692307692307693,0.0,1001,0,1012,0.08
248,3,0.2,2,0.18181818181818182,0.0,1004,0,1014,0.08
249,3,0.26,2,0.06666666666666667,0.0,1007,0,1020,0.08
250,3,0.3,3,0.2,0.0,1010,0,1025,0.08
251,8,0.22,2,0.125,0.0,1018,0,1029,0.08
252,5,0.14,1,0.09090909090909091,0.0,1023,0,1030,0.08
253,4,0.1,1,0.0,0.0,1027,0,1032,0.08
254,3,0.14,1,0.0,0.0,1030,0,1037,0.08
255,3,0.26,2,0.06666666666666667,0.0,1033,0,1046,0.08
256,4,0.22,3,0.15384615384615385,0.0,1037,0,1048,0.08
257,3,0.22,3,0.07692307692307693,0.0,1040,0,1051,0.08
258,3,0.18,2,0.2,0.0,1043,0,1052,0.08
259,6,0.2,2,0.06666666666666667,0.0,1049,0,1059,0.08
260,4,0.2,1,0.07692307692307693,0.0,1053,0,1063,0.08
261,2,0.26,3,0.0,0.0,1055,0,1068,0.08
262,3,0.3,3,0.058823529411764705,0.0,1058,0,1073,0.08
263,4,0.26,2,0.0625,0.0,1062,0,1075,0.08
264,7,0.16,1,0.07142857142857142,0.0,1069,0,1077,0.08
265,4,0.12,2,0.0,0.0,1073,0,1079,0.08
266,1,0.14,2,0.0,0.0,1074,0,1081,0.08
267,4,0.08,2,0.0,0.0,1078,0,1082,0.08
268,1,0.12,1,0.0,0.0,1079,0,1085,0.08
269,4,0.08,2,0.0,0.0,1083,0,1087,0.08
270,3,0.04,1,0.0,0.0,1086,0,1088,0.08
271,0,0.14,1,0.0,0.0,1086,0,1093,0.08
272,1,0.22,2,0.0,0.0,1087,0,1098,0.08
273,4,0.26,3,0.13333333333333333,0.0,1091,0,1104,0.08
274,2,0.28,3,0.06666666666666667,0.0,1093,0,1107,0.08
275,4,0.26,2,0.13333333333333333,0.0,1097,0,1110,0.08
276,5,0.24,2,0.0,0.0,1102,0,1114,0.08
277,3,0.24,2,0.15384615384615385,0.0,1105,0,1117,0.08
278,3,0.24,2,0.0,0.0,1108,0,1120,0.08
279,5,0.3,2,0.1875,0.0,1113,0,1128,0.08
280,6,0.24,1,0.058823529411764705,0.0,1119,0,1131,0.08
281,7,0.18,1,0.0,0.0,1126,0,1135,0.08
282,4,0.24,2,0.06666666666666667,0.0,1130,0,1142,0.08
283,2,0.28,3,0.06666666666666667,0.0,1132,0,1146,0.08
284,3,0.36,4,0.10526315789473684,0.0,1135,0,1153,0.08
285,6,0.32,4,0.1,0.0,1141,0,1157,0.08
286,5,0.3,3,0.25,0.0,1146,0,1161,0.08
287,6,0.26,2,0.0,0.0,1152,0,1165,0.08
288,5,0.22,2,0.0,0.0,1157,0,1168,0.08
289,5,0.2,1,0.0,0.0,1162,0,1172,0.08
290,4,0.18,2,0.0,0.0,1166,0,1175,0.08
291,6,0.18,2,0.0,0.0,1172,0,1181,0.08
292,3,0.16,1,0.0,0.0,1175,0,1183,0.08
293,3,0.22,2,0.07692307692307693,0.0,1178,0,1189,0.08
294,2,0.32,1,0.0,0.0,1180,0,1196,0.08
295,4,0.36,3,0.0,0.0,1184,0,1202,0.08
296,3,0.36,2,0.16666666666666666,0.0,1187,0,1205,0.08
297,7,0.26,2,0.1111111111111111,0.0,1194,0,1207,0.08
298,6,0.24,3,0.125,0.0,1200,0,1212,0.08
299,4,0.3,3,0.058823529411764705,0.0,1204,0,1219,0.08
300,5,0.34,3,0.16666666666666666,0.0,1209,0,1226,0.08
