generated,delivered,dropped,rejected_at_admission,delivery_ratio,mean_latency,mean_queue_len,max_queue_len,prop_congested_edges,prop_congested_nodes,total_delivered_throughput,n_congestion_episodes,mean_recovery_time_steps,scenario,control_enabled,seed
1224,1210,0,0,0.988562091503268,2.860330578512397,0.2326,5,0.08394963715048855,0.0,1210,0,0.0,baja,True,1005
1218,1201,0,0,0.9860426929392446,2.3705245628642797,0.1922,5,0.05585076786818272,0.0,1201,0,0.0,baja,True,1006
1183,1178,0,0,0.9957734573119188,2.8565365025466893,0.22573333333333334,5,0.06726002108636044,0.0,1178,0,0.0,baja,True,1007
1237,1221,0,0,0.9870654810024252,2.538902538902539,0.20900000000000002,5,0.0676997098948573,0.0,1221,0,0.0,baja,True,1008
1229,1218,0,0,0.9910496338486574,3.1978653530377668,0.2616,6,0.08164321514336657,0.0,1218,0,0.0,baja,True,1009
3654,2833,753,126,0.7753147235905856,6.087892693258031,1.3600666666666665,10,0.29109969843604727,0.0728,2833,12,17.416666666666668,media,False,1000
3709,3424,242,66,0.9231598813696414,3.94392523364486,0.9606666666666667,10,0.22218467682903262,0.030866666666666667,3424,7,2.142857142857143,media,False,1001
3668,3424,192,23,0.9334787350054525,4.6267523364485985,1.1051333333333333,10,0.2610084446611996,0.03266666666666667,3424,21,2.4761904761904763,media,False,1002
3590,3090,442,88,0.8607242339832869,5.741423948220064,1.259,10,0.2724784307848113,0.06273333333333334,3090,24,9.041666666666666,media,False,1003
3675,3271,343,87,0.8900680272108844,5.390706206053195,1.2633999999999999,10,0.2797679540626809,0.03933333333333334,3271,21,4.285714285714286,media,False,1004
3626,2947,619,131,0.8127413127413128,6.25246012894469,1.3256666666666665,10,0.2917415718107494,0.05826666666666667,2947,17,13.235294117647058,media,False,1005
3829,3520,248,36,0.9193000783494385,4.396306818181818,1.1002666666666665,10,0.26648722728830593,0.039466666666666664,3520,39,2.3076923076923075,media,False,1006
3533,3075,399,82,0.8703651287857345,5.855284552845529,1.2958,10,0.28488272162868206,0.04266666666666667,3075,23,3.1739130434782608,media,False,1007
3776,3284,421,64,0.8697033898305084,6.044457978075518,1.4217333333333333,10,0.3006800644793867,0.06420000000000001,3284,17,13.235294117647058,media,False,1008
